<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSCH;D;01/03/20;0;264,44;268,63;263,9;268,63;10127,373482
RTSCH;D;01/06/20;0;268,24;274,29;267,24;274,01;9512,07616
RTSCH;D;01/08/20;0;274,23;288,82;274,23;284,51;19308,073439
RTSCH;D;01/09/20;0;289,39;290,87;277,25;283,05;23969,598406
RTSCH;D;01/10/20;0;283,74;284,37;280,23;281,77;18594,198972
RTSCH;D;01/13/20;0;281,94;287,36;281,78;286,62;24041,023761
RTSCH;D;01/14/20;0;287,92;290,39;285,23;286,04;28948,057692
RTSCH;D;01/15/20;0;286,05;287,77;281,32;283,4;17812,01401
RTSCH;D;01/16/20;0;284,32;285,95;283,45;284,48;20510,177883
RTSCH;D;01/17/20;0;285,02;286,53;284,06;285,2;21110,59648
RTSCH;D;01/20/20;0;285,11;286,81;284,04;284,4;30625,840738
RTSCH;D;01/21/20;0;284,75;284,75;281,25;282,14;15019,001416
RTSCH;D;01/22/20;0;281,76;283,31;277,74;277,89;16738,800144
RTSCH;D;01/23/20;0;277,55;277,6;274,31;274,56;19233,655544
RTSCH;D;01/24/20;0;275,76;277,57;274,22;275,93;19481,288187
RTSCH;D;01/27/20;0;274,1;274,77;266,31;266,53;26387,505371
RTSCH;D;01/28/20;0;267,74;270,33;265,12;270,33;31886,581368
RTSCH;D;01/29/20;0;271,01;275,63;270,63;274,2;29362,28419
RTSCH;D;01/30/20;0;274,23;274,23;270,48;271,87;29111,838594
RTSCH;D;01/31/20;0;271,27;273,97;268,62;269,75;35959,710458
RTSCH;D;02/03/20;0;266,5;267,72;263,23;267,55;27660,584068
RTSCH;D;02/04/20;0;267,56;271,79;266,73;271,79;16111,205758
RTSCH;D;02/05/20;0;271,41;273,65;270,35;271,68;14765,822345
RTSCH;D;02/06/20;0;272,34;273,58;268,83;269,54;12985,504841
RTSCH;D;02/07/20;0;270,21;271,18;266,33;267,03;13339,848886
RTSCH;D;02/10/20;0;266,57;269,03;265,19;266,06;15892,105757
RTSCH;D;02/11/20;0;266,71;269,21;266,48;268,76;21776,192693
RTSCH;D;02/12/20;0;268,88;271,06;268,66;269,59;39042,46412
RTSCH;D;02/13/20;0;269,09;269,09;265,89;267,55;43701,193783
RTSCH;D;02/14/20;0;267,11;268,59;266,57;267,19;34624,395979
RTSCH;D;02/17/20;0;267,4;269,5;267,39;268,95;20122,010211
RTSCH;D;02/18/20;0;268,65;268,71;264,88;266,44;39324,372506
RTSCH;D;02/19/20;0;266,64;269,08;266,45;268,21;17946,763722
RTSCH;D;02/20/20;0;269,08;272,15;266,92;266,92;22566,421857
RTSCH;D;02/21/20;0;262,74;265,61;262,28;265,61;47291,538783
RTSCH;D;02/25/20;0;264,09;264,09;257,08;257,48;30741,584222
RTSCH;D;02/26/20;0;257,58;258,85;251,81;258,17;37020,950418
RTSCH;D;02/27/20;0;254,94;256,24;246,47;247,75;59170,318892
RTSCH;D;02/28/20;0;247,05;247,05;232,64;238,09;58311,573254
RTSCH;D;03/02/20;0;239,79;247,82;238,2;240,7;34021,295695
RTSCH;D;03/03/20;0;246,51;247,71;243,51;247,71;19530,938151
RTSCH;D;03/04/20;0;247,22;248,12;242,75;245,59;19086,618411
RTSCH;D;03/05/20;0;246,0;249,41;244,83;245,83;28052,579605
RTSCH;D;03/06/20;0;241,34;243,87;235,06;236,9;22736,156312
RTSCH;D;03/10/20;0;223,45;236,41;210,16;229,07;88315,258536
RTSCH;D;03/11/20;0;235,2;235,2;227,23;227,96;37384,421915
RTSCH;D;03/12/20;0;224,35;224,35;207,22;209,46;74368,549991
RTSCH;D;03/13/20;0;209,93;220,64;209,31;209,7;67645,447015
RTSCH;D;03/16/20;0;213,42;214,04;197,07;210,58;85905,692853
RTSCH;D;03/17/20;0;205,63;210,76;202,36;210,23;32235,329775
RTSCH;D;03/18/20;0;205,06;207,32;191,31;196,36;39548,397946
RTSCH;D;03/19/20;0;194,06;202,83;188,85;201,85;41476,102687
RTSCH;D;03/20/20;0;203,12;211,26;202,39;204,13;32673,199705
RTSCH;D;03/23/20;0;198,7;205,93;193,95;204,33;58300,952893
RTSCH;D;03/24/20;0;208,77;214,41;208,77;212,96;33011,663273
RTSCH;D;03/25/20;0;215,25;221,5;208,99;213,52;52008,010916
RTSCH;D;03/26/20;0;213,21;220,83;210,86;220,82;26027,918529
RTSCH;D;03/27/20;0;219,65;219,67;210,27;211,49;25203,181923
RTSCH;D;03/30/20;0;211,49;213,92;208,47;213,42;44789,716632
RTSCH;D;03/31/20;0;215,55;221,77;215,55;221,77;32825,428571
RTSCH;D;04/01/20;0;218,26;221,7;214,49;219,16;21389,020297
RTSCH;D;04/02/20;0;220,85;226,62;220,07;224,61;20522,914609
RTSCH;D;04/03/20;0;227,7;229,7;225,7;226,07;18820,124589
RTSCH;D;04/06/20;0;229,89;230,82;226,63;228,48;25799,926899
RTSCH;D;04/07/20;0;230,23;233,59;229,87;231,74;20556,300795
RTSCH;D;04/08/20;0;230,52;236,12;229,92;236,12;28483,970723
RTSCH;D;04/09/20;0;237,99;246,19;236,99;242,76;29306,920503
RTSCH;D;04/10/20;0;239,03;243,72;238,83;241,04;11161,449149
RTSCH;D;04/13/20;0;241,56;242,4;239,44;240,94;14824,387879
RTSCH;D;04/14/20;0;242,14;247,97;241,79;245,59;24514,53483
RTSCH;D;04/15/20;0;246,27;246,27;236,98;238,18;31499,187166
RTSCH;D;04/16/20;0;240,08;241,6;237,76;241,11;20222,734128
