Fully retrieved at 13:58:47;;;;;;;;;;
;;;;;;;;;;
START:14/MAY/2005 END:14/MAY/2012 INTERVAL:D ;;;;;;;;;;
LAST QUOTE;;;;;;;;;;
;;;;;;;;;;
TIMESTAMP;GRGV6MEUAC=R;GRGV1YEUAC=R;GRGV2YEUAC=R;GRGV3YEUAC=R;GRGV4YEUAC=R;GRGV5YEUAC=R;GRGV7YEUAC=R;GRGV10YEUAC=R;GRGV20YEUAC=R;GRGV30YEUAC=R
31.03.2010;364,81;364,479;347,514;330,812;323,611;316,491;309,578;299,54;285,264;283,313
01.04.2010;369,792;369,434;352,462;335,75;328,521;321,389;314,392;304,256;289,709;287,546
02.04.2010;369,792;369,434;352,462;335,75;328,521;321,389;314,392;304,256;289,709;287,546
05.04.2010;369,792;369,434;352,462;335,75;328,521;321,389;314,392;304,256;289,709;287,546
06.04.2010;414,77;414,332;397,165;380,34;370,618;361,029;349,287;332,296;316,084;312,893
07.04.2010;444,726;444,239;424,881;405,949;394,117;382,449;369,206;349,885;334,193;331,329
08.04.2010;579,628;578,951;543,176;508,113;468,767;429,351;408,815;380,051;361,389;357,479
09.04.2010;594,653;594,022;532,145;470,905;430,482;390,172;369,329;340,105;322,098;318,854
12.04.2010;394,77;394,366;379,832;365,566;349,061;332,615;317,186;294,56;278,287;275,564
13.04.2010;409,76;409,326;394,801;380,575;364,128;347,753;332,366;309,849;293,52;290,649
14.04.2010;494,711;494,181;453,303;412,967;396,056;379,469;362,084;336,852;320,145;317,111
15.04.2010;514,693;514,128;473,348;433,166;411,711;390,544;372,939;347,64;330,879;327,918
16.04.2010;529,667;529,041;488,257;448,143;426,707;405,603;386,242;358,297;341,058;337,875
19.04.2010;569,642;568,986;530,919;493,608;463,395;433,376;411,956;381,272;363,724;360,501
20.04.2010;567,64;566,958;528,674;491,136;460,733;430,52;408,754;377,677;359,034;355,05
21.04.2010;609,632;608,931;575,607;543,137;501,964;460,66;436,632;402,678;383,447;379,401
22.04.2010;775,943;770,006;719,129;667,368;621;572,98;546,81;507,907;519,427;534,586
23.04.2010;801,408;795,912;745,984;695,179;649,721;602,58;577,644;540,486;556,015;575,648
26.04.2010;1030,693;1028,554;994,164;959,68;849,898;730,369;679,746;610,753;603,184;608,307
27.04.2010;1133,007;1132,736;1102,814;1073,066;969,429;855,847;811,18;750,475;761,702;775,772
28.04.2010;1235,606;1237,479;1120,384;997,885;890,685;777,762;721,363;642,9;636,027;635,296
29.04.2010;1235,508;1237,368;1120,301;997,737;890,361;777,173;720,173;641,158;632,805;631,069
30.04.2010;1081,652;1080,367;984,626;885,425;818,712;751,378;717,341;671,278;681,387;689,962
03.05.2010;1081,652;1080,367;984,626;885,425;818,712;751,378;717,341;671,278;681,387;689,962
04.05.2010;1081,674;1080,59;984,686;885,289;818,448;750,986;716,768;670,45;679,93;688,344
05.05.2010;1194,358;1195,437;1095,124;990,855;932,087;873,559;827,415;757,722;759,209;773,745
06.05.2010;1245,574;1247,715;1150,49;1049,501;993,59;937,984;896,535;835,219;750,839;742,385
07.05.2010;1256,283;1258,896;1191,586;1122,575;1049,817;973,559;915,202;832,225;734,121;720,053
10.05.2010;744,954;738,562;698,902;658,988;618,022;577,618;543,754;494,437;422,333;405,206
11.05.2010;704,501;697,752;656,967;615,703;573,298;531,454;495,361;442,799;363,226;341,27
12.05.2010;663,91;656,68;614,76;572,44;529,01;486,13;452,51;404,22;332,06;312,28
13.05.2010;674,03;666,92;625,32;583,27;540,07;497,39;464,01;416,14;345,07;326,09
14.05.2010;750,21;744,04;709,28;674,24;633,59;593,36;563,26;520,37;462,06;452,25
17.05.2010;790,75;785,06;751,57;717,98;678,87;640,23;612,64;573,38;524,24;521,07
18.05.2010;744,97;738,67;703,8;668,78;632,84;597,67;572,42;537,06;493,6;491,33
19.05.2010;877,1;872,58;819,74;766,17;731,9;698,87;666,18;617,81;551,93;542,91
20.05.2010;917,87;914,05;862,63;810,33;777,18;745,3;714,53;669,18;612,14;610,62
21.05.2010;902,55;898,5;846,59;793,99;760,63;728,53;697,51;651,7;592,72;589,28
24.05.2010;902,524;898,568;846,531;793,753;760,255;728,043;696,852;650,901;591,556;587,967
25.05.2010;859,253;865,043;834,289;803,513;774,268;743,994;717,428;674,649;623,109;625,718
26.05.2010;818,44;823,56;791,42;759,19;728,49;696,78;667,76;621,4;559,98;554,25
27.05.2010;792,914;797,662;764,758;731,818;700,425;668,007;637,829;589,616;522,916;512,791
28.05.2010;765,354;769,693;736,159;702,571;670,494;637,452;606,092;556,116;485,072;471,75
31.05.2010;765,35;769,69;736,16;702,57;670,49;637,45;606,09;556,12;485,07;471,75
01.06.2010;821,11;826,21;794,57;763,09;733,18;702,26;674,63;630,15;573,3;570,54
02.06.2010;831,28;836,54;805,26;774,08;744,47;713,88;683,1;632,87;563,67;554,71
03.06.2010;831,29;836,58;805,21;773,87;744,06;713,25;681,97;631,11;560,37;550,19
04.06.2010;871,85;877,65;847,63;817,84;789,63;760,49;732,3;686,02;627,32;626,39
07.06.2010;871,77;877,54;847,58;817,91;789,86;760,91;733,19;687,66;631,43;632,84
08.06.2010;886,91;892,81;863,22;834,05;806,54;778,15;751,46;707,41;655,22;660,04
09.06.2010;871,64;877,26;847,1;817,28;789,07;759,98;731,95;686,08;628,96;629,5
10.06.2010;820,86;825,75;793,98;762,54;732,67;701,85;670,7;620,03;549,64;539,59
11.06.2010;820,85;825,76;793,9;762,22;732;700,77;668,76;616,86;543,08;530,38
14.06.2010;830,93;835,98;804,56;773,49;743,96;713,45;682,85;632,96;564,81;556,5
15.06.2010;907,08;913,27;884,5;856,22;829,57;802,03;776,81;734,92;688,72;698,8
16.06.2010;947,7;954,45;922,11;890,22;857,52;823,51;790,58;735,86;661,11;654,42
17.06.2010;937,5;944,13;911,51;879,3;846,27;811,9;778,36;722,79;645,86;637,36
18.06.2010;937,45;944,03;911,39;879,27;846,35;812,11;778,85;723,71;647,76;640,18
21.06.2010;940,64;947,51;916,3;884,71;852,09;818,02;784,6;728,84;650,08;640,36
22.06.2010;996,88;1004,67;975,89;946,93;917,1;885,89;857,71;809,69;749,42;754,05
23.06.2010;1041,57;1041,95;1000,05;959,79;920,42;881,54;838,11;774,86;684,34;663,79
24.06.2010;1091,91;1092,5;1051,1;1011,33;972,57;934,35;888,77;822,2;726,45;704,86
25.06.2010;1267,68;1268,7;1172,96;1079,39;1027,31;976,93;925,89;854,02;751,57;728,43
28.06.2010;1252,44;1253,37;1157,5;1063,8;1011,73;961,31;908,91;834,35;726,03;699,98
29.06.2010;1267,43;1268,34;1172,7;1079,39;1027,63;977,59;925,78;852,31;746,7;722,24
30.06.2010;1071,58;1072,01;1021,15;972;923,75;875,89;827,14;756,75;653,72;628,08
01.07.2010;1071,53;1071,92;1020,97;971,81;923,59;875,75;827,09;756,73;653,4;627,33
02.07.2010;1036,4;1036,73;989,91;944,68;896,19;847,95;803,34;739,58;648,74;627,59
